"Numero_statut","IsActiveMember","EstimatedSalary","HasCrCard","Exited"
"164","1","106977.8","1","0"
"165","0","55582.54","1","1"
"166","1","139874.43","1","0"
"167","0","162503.48","1","1"
"168","0","196499.96","1","0"
"169","0","40721.24","1","1"
"170","0","53134.3","0","0"
"171","0","164017.89","1","0"
"172","0","155996.96","1","0"
"173","0","5472.7","1","1"
"174","0","112187.11","1","0"
"175","1","146457.83","1","0"
"176","1","27286.1","1","0"
"177","1","130553.47","1","0"
"178","0","179351.89","0","0"
"179","1","94774.12","0","0"
"180","0","8080.85","1","1"
"181","1","19482.5","1","0"
"182","1","48071.61","1","0"
"183","0","174531.27","1","0"
"184","1","55470.78","1","0"
"185","1","8546.87","1","1"
"186","0","95857.18","1","0"
"187","0","194945.8","1","0"
"188","1","131521.72","0","0"
"189","1","196108.51","0","0"
"190","0","148564.76","1","0"
"191","0","92982.61","0","1"
"192","0","17675.36","1","0"
"193","0","114996.43","0","0"
"194","0","86957.42","1","0"
"195","0","128077.8","1","0"
"196","1","600.36","1","0"
"197","1","43001.46","1","0"
"198","1","158591.12","1","0"
"199","1","47847.19","1","0"
"200","0","10488.44","1","0"
"201","1","5978.2","1","0"
"202","1","121409.06","0","0"
"203","1","146145.93","0","1"
"204","1","14374.86","1","1"
"205","0","94670.77","1","0"
"206","1","179670.31","1","0"
"207","0","199304.74","0","1"
"208","1","151954.39","1","0"
"209","0","142513.5","1","1"
"210","1","158264.62","0","0"
"211","0","169381.9","1","0"
"212","1","169915.02","1","0"
"213","0","88852.47","0","0"
"214","1","40645.81","1","0"
"215","0","60427.3","0","0"
"216","1","157959.02","0","1"
"217","0","133007.34","1","0"
"218","0","176576.62","0","0"
"219","0","34888.04","1","1"
"220","1","28737.71","1","1"
"221","1","98178.57","1","0"
"222","1","125010.24","0","0"
"223","1","167984.61","1","0"
"224","0","4861.72","1","1"
"225","1","108872.45","1","1"
"226","0","198252.88","1","0"
"227","1","26960.31","1","0"
"228","1","85746.52","1","1"
"229","0","77206.25","1","1"
"230","0","61048.53","1","0"
"231","1","111981.19","0","0"
"232","0","62232.6","1","0"
"233","1","156105.03","0","0"
"234","1","150135.38","0","0"
"235","1","93146.11","0","0"
"236","0","33462.94","1","1"
"237","1","144375","1","0"
"238","0","55803.96","1","1"
"239","0","89048.46","1","1"
"240","1","162812.16","0","0"
"241","0","136259.65","1","0"
"242","0","124052.97","1","0"
"243","1","74158.8","0","0"
"244","1","45071.09","1","1"
"245","0","62030.06","1","0"
"246","0","131953.23","1","1"
"247","0","79414","1","0"
"248","1","199638.56","1","0"
"249","1","157577.29","1","0"
"250","0","134420.75","1","1"
"251","0","99805.99","0","0"
"252","1","97932.68","1","0"
"253","1","170968.99","0","0"
"254","1","57558.95","1","0"
"255","0","176713.47","0","0"
"256","1","34283.23","0","0"
"257","1","198637.34","1","0"
"258","0","156917.12","0","0"
"259","1","50457.2","1","0"
"260","1","140075.55","1","0"
"261","1","65323.11","1","0"
"262","0","64323.24","1","0"
"263","0","14956.44","1","0"
"264","1","111879.21","0","0"
"265","1","18606.23","1","0"
"266","0","123137.01","1","0"
"267","1","148528.24","1","0"
"268","0","13898.31","1","0"
"269","0","81259.25","0","1"
"270","0","161051.75","1","0"
"271","1","191599.67","0","0"
"272","0","48559.19","1","1"
"273","1","186339.74","1","0"
"274","0","33159.37","1","0"
"275","1","93883.53","0","0"
"276","1","110899.3","1","0"
"277","1","11199.04","1","1"
"278","0","189992.97","1","0"
"279","1","164255.69","0","0"
"280","0","152167.79","1","1"
"281","1","33949.67","1","0"
"282","1","68143.93","1","0"
"283","1","47251.79","1","1"
"284","1","25885.72","1","0"
"285","1","192633.85","0","0"
"286","0","34577.36","1","0"
"287","0","161229.84","1","0"
"288","0","100816.29","1","0"
"289","1","181694.44","1","0"
"290","0","79078.91","1","0"
"291","1","137316.32","0","0"
"292","0","194926.86","1","0"
"293","0","51285.49","1","0"
"294","0","150401.53","0","1"
"295","1","112491.96","1","0"
"296","0","73656.38","1","0"
"297","1","106636.89","1","0"
"298","0","155853.52","1","1"
"299","1","162599.51","1","0"
"300","1","103737.82","1","0"
"301","0","160990.27","1","0"
"302","0","15462.84","0","0"
"303","0","10334.05","1","0"
"304","1","190686.16","1","0"
"305","0","94440.45","0","0"
"306","1","28257.63","1","0"
"307","1","170034.95","1","1"
"308","0","31824.29","1","0"
"309","0","127166.49","1","1"
"310","0","44937.01","1","0"
"311","1","188603.07","1","0"
"312","0","145111.37","1","0"
"313","0","171463.83","0","0"
"314","0","182822.5","1","0"
"315","1","87213.33","1","0"
"316","0","57175.32","0","0"
"317","0","120540.83","1","1"
"318","1","28714.34","1","0"
"319","0","85426.28","1","0"
"320","0","46170.75","1","0"
"321","1","64448.36","1","0"
"322","1","16278.97","1","0"
"323","0","182855.42","1","1"
"324","0","50404.72","0","0"
"325","0","107640.25","1","0"
"326","0","134132.65","1","0"
"327","0","103480.69","1","0"
"328","0","108761.05","1","1"
"329","1","179012.3","1","0"
"330","1","95145.14","1","0"
"331","1","72143.44","0","0"
"332","0","19162.89","1","0"
"333","1","144680.18","0","0"
"334","0","177772.03","1","1"
"335","0","5597.94","1","0"
"336","0","116828.51","1","1"
"337","1","174652.51","0","0"
"338","0","2010.98","1","0"
"339","0","14109.85","1","1"
"340","0","43527.4","1","1"
"341","1","86099.23","0","1"
"342","0","161574.19","0","0"
"343","1","38970.14","1","0"
"344","0","127587.22","0","0"
"345","0","30380.12","1","0"
"346","0","90908.95","1","0"
"347","0","138275.01","1","0"
"348","1","32171.79","1","0"
"349","1","126143.23","1","0"
"350","1","129892.93","1","0"
"351","1","102416.84","1","0"
"352","1","18719.67","1","0"
"353","0","61936.22","1","0"
"354","1","78358.94","1","0"
"355","1","147224.27","1","0"
"356","0","160979.66","1","0"
"357","1","132298.49","1","0"
"358","0","174248.52","1","1"
"359","1","123547.28","1","0"
"360","1","32790.02","0","0"
"361","1","181543.67","0","0"
"362","1","2319.96","0","1"
"363","1","189543.19","1","0"
"364","0","10940.4","1","0"
"365","1","199493.38","1","0"
"366","1","188193.25","1","0"
"367","0","172572.64","1","0"
"368","1","189339.6","1","0"
"369","1","53512.16","0","0"
"370","0","34004.44","1","0"
"371","1","10598.29","1","0"
"372","1","113428.77","0","0"
"373","1","183487.98","1","0"
"374","1","187658.09","1","0"
"375","1","172459.39","1","0"
"376","1","21016","0","0"
"377","1","122381.02","1","1"
"378","0","128123.66","1","0"
"379","0","19570.63","1","0"
"380","0","188150.6","0","1"
"381","1","111020.24","1","0"
"382","0","123775.15","1","0"
"383","1","146700.22","0","0"
"384","0","145251.35","1","0"
"385","0","82463.69","1","0"
"386","1","15928.49","1","0"
"387","0","45886.33","1","0"
"388","1","186489.95","1","0"
"389","1","162922.65","0","0"
"390","0","9262.77","1","0"
"391","1","84932.4","1","0"
"392","1","71557.12","1","0"
"393","0","77405.95","1","1"
"394","0","417.41","0","1"
"395","1","71405.17","1","0"
"396","1","153400.24","0","0"
"397","1","371.05","1","0"
"398","0","67789.99","1","0"
"399","1","145894.9","0","0"
"400","0","183840.51","1","1"
"401","0","108887.44","1","0"
"402","1","154071.27","1","0"
"403","1","179291.85","0","0"
"404","1","56937.43","0","0"
"405","1","112239.03","1","0"
"406","0","45909.87","1","0"
"407","0","173779.25","0","1"
"408","0","125696.26","1","0"
"409","1","159585.61","1","0"
"410","0","106761.47","1","0"
"411","0","129590.18","0","0"
"412","1","80006.65","1","0"
"413","1","140451.52","1","0"
"414","1","187929.43","1","1"
"415","0","167155.36","1","0"
"416","0","191420.71","0","0"
"417","0","11384.45","0","1"
"418","1","94898.1","1","0"
"419","0","106781.59","0","0"
"420","0","159508.52","0","0"
"421","0","93524.19","1","1"
"422","0","87168.46","1","0"
"423","0","8128.32","1","1"
"424","0","125518.32","1","0"
"425","0","48963.59","1","0"
"426","0","98368.24","1","0"
"427","0","148584.61","1","0"
"428","1","27474.81","1","0"
"429","0","76192.21","1","0"
"430","0","134600.94","0","1"
"431","1","72467.99","1","1"
"432","1","199645.45","0","0"
"433","0","42749.85","1","0"
"434","0","136050.44","1","1"
"435","0","73564.44","0","0"
"436","1","85578.63","0","0"
"437","0","129826.89","1","0"
"438","0","119666","0","0"
"439","0","68052.08","1","0"
"440","1","164104.74","1","0"
"441","0","80190.36","0","0"
"442","0","84126.75","1","0"
"443","1","70179","1","0"
"444","1","118024.1","1","0"
"445","0","145704.19","0","1"
"446","1","183049.41","0","0"
"447","0","120906.83","0","0"
"448","1","100433.83","1","0"
"449","0","138777","0","1"
"450","0","124694.99","1","0"
"451","0","40084.32","1","0"
"452","1","119232.33","0","0"
"453","0","43921.36","0","0"
"454","0","62222.81","1","0"
"455","1","56577","0","0"
"456","0","164253.35","1","0"
"457","1","7666.73","1","0"
"458","0","68487.51","1","0"
"459","1","199273.98","0","1"
"460","1","186062.36","1","0"
"461","1","195711.16","1","0"
"462","0","36692.17","1","0"
"463","0","106920.57","1","0"
"464","1","48725.68","1","1"
"465","1","167036.94","1","0"
"466","0","68777.26","1","0"
"467","1","18924.92","1","0"
"468","0","71905.77","1","1"
"469","0","64833.28","1","0"
"470","1","184843.77","1","0"
"471","1","176730.02","1","0"
"472","0","20629.4","1","1"
"473","0","28415.36","1","0"
"474","0","77231.27","1","0"
"475","0","102750.7","1","0"
"476","0","34580.8","0","1"
"477","1","183598.77","1","0"
"478","0","147358.27","1","0"
"479","1","108469.2","1","0"
"480","1","20612.82","1","0"
"481","1","181196.76","0","0"
"482","0","160249.1","1","0"
"483","0","110783.28","0","0"
"484","0","144995.33","1","0"
"485","0","150227.85","1","1"
"486","1","53718.28","1","0"
"487","0","75248.3","1","0"
"488","1","14353.43","1","1"
"489","1","130486.57","0","0"
"490","1","100127.71","1","0"
"491","1","196356.17","1","0"
"492","1","9983.88","1","0"
"493","1","118974.77","0","0"
"494","0","194998.34","0","1"
"495","0","134901.34","0","1"
"496","1","72924.56","1","0"
"497","0","101057.95","1","0"
"498","1","142838.64","1","0"
"499","1","127059.04","1","0"
"500","1","116503.92","0","1"
"501","1","54405.79","1","0"
"502","1","88721.84","1","0"
"503","0","74135.48","1","1"
"504","1","111346.22","1","0"
"505","0","194902.16","0","0"
"506","0","31474.27","1","0"
"507","0","21198.39","1","0"
"508","0","186976.6","1","0"
"509","1","117202.19","1","0"
"510","1","143739.29","1","0"
"511","1","161811.23","1","0"
"512","0","98090.91","1","0"
"513","0","71095.41","0","0"
"514","1","13107.24","1","0"
"515","1","67110.59","1","1"
"516","0","88225.02","1","0"
"517","1","62256.87","0","1"
"518","0","135925.72","1","0"
"519","1","177815.87","0","1"
"520","1","126471.13","0","0"
"521","0","188574.12","1","1"
"522","1","119175.45","1","0"
"523","1","139093.73","1","0"
"524","1","115916.55","1","0"
"525","0","96463.25","0","0"
"526","1","112349.51","1","0"
"527","1","165303.79","1","0"
"528","0","166031.08","1","0"
"529","0","38411.79","1","1"
"530","1","77783.35","1","0"
"531","1","29871.79","1","0"
"532","1","59747.63","0","0"
"533","1","79919.13","1","0"
"534","0","76773.53","1","0"
"535","0","54018.93","1","0"
"536","0","70649.64","1","1"
"537","0","59093.39","1","0"
"538","0","127569.8","1","0"
"539","1","18260.98","0","1"
"540","0","73275.96","1","1"
"541","1","136129.49","1","0"
"542","1","153237.59","1","0"
"543","1","106841.12","1","0"
"544","0","109078.35","1","1"
"545","1","87822.14","0","1"
"546","0","126644.98","1","0"
"547","0","47414.15","1","0"
"548","0","41879.99","1","0"
"549","1","75808.1","1","0"
"550","1","47911.03","1","0"
"551","0","28737.78","1","0"
"552","1","2079.2","1","1"
"553","0","121562.33","1","0"
"554","0","55003.79","1","0"
"555","0","193131.42","1","0"
"556","1","191932.27","0","1"
"557","0","159418.1","1","0"
"558","0","191468.78","1","1"
"559","1","38913.68","1","0"
"560","1","705.18","1","0"
"561","1","138490.03","0","0"
"562","1","82970.69","0","0"
"563","1","76744.72","1","0"
"564","0","71244.59","1","1"
"565","1","12182.15","1","0"
"566","1","141210.5","1","0"
"567","0","191763.07","0","1"
"568","1","37938.74","1","0"
"569","1","74890.58","1","0"
"570","1","166698.18","1","0"
"571","1","62678.53","1","0"
"572","0","67740.08","1","1"
"573","0","161519.77","1","0"
"574","1","159835.78","1","1"
"575","1","30876.84","1","0"
"576","1","14858.1","1","0"
"577","0","75685.97","1","0"
"578","1","144183.1","0","0"
"579","0","65170.66","1","0"
"580","1","82526.92","1","0"
"581","0","169161.46","1","0"
"582","1","109291.39","0","1"
"583","1","6057.81","0","0"
"584","0","77077.14","1","0"
"585","0","54954.51","0","1"
"586","0","179614.8","0","1"
"587","0","35588.07","1","1"
"588","1","117356.14","1","0"
"589","0","160696.72","1","0"
"590","0","147278.43","0","1"
"591","1","56594.36","1","1"
"592","0","1299.75","1","0"
"593","1","25095.03","1","0"
"594","0","146326.45","0","0"
"595","1","38296.21","0","0"
"596","0","164061.6","1","0"
"597","0","107811.28","1","0"
"598","1","30838.51","1","0"
"599","0","9221.78","0","1"
"600","1","33738.27","0","0"
"601","1","110916.15","0","1"
"602","1","169654.57","1","0"
"603","1","69829.4","0","0"
"604","0","54926.51","1","1"
"605","1","94728.49","1","0"
"606","1","80393.27","1","0"
"607","1","111307.98","0","0"
"608","0","19834.32","1","0"
"609","1","78397.24","1","0"
"610","0","86410.28","1","0"
"611","0","172749.65","0","0"
"612","0","1002.39","1","0"
"613","1","13601.79","1","0"
"614","1","77866.91","1","0"
"615","1","175296.76","1","0"
"616","0","121751.04","1","1"
"617","0","89593.26","1","0"
"618","0","193437.89","1","1"
"619","1","86945","1","0"
"620","1","183318.79","1","0"
"621","0","71154.1","1","0"
"622","1","151887.16","0","0"
"623","1","75888.65","1","0"
"624","1","89566.74","0","0"
"625","1","26475.79","0","0"
"626","0","126355.8","0","0"
"627","1","93839.3","1","0"
"628","0","7698.6","1","0"
"629","1","145593.85","1","0"
"630","0","45042.56","1","0"
"631","0","61108.56","1","1"
"632","0","57553.98","1","1"
"633","0","62674.42","1","0"
"634","1","12120.79","1","0"
"635","0","50129.87","0","1"
"636","0","55022.43","1","0"
"637","0","117834.91","0","0"
"638","1","168840.23","0","0"
"639","1","24234.11","0","0"
"640","0","190627.01","0","0"
"641","0","156618.38","1","1"
"642","0","42334.38","1","0"
"643","1","110784.42","1","0"
"644","0","173683","1","1"
"645","0","27046.46","1","1"
"646","0","20598.59","1","1"
"647","1","104991.28","1","0"
"648","0","8996.97","1","0"
"649","0","64420.5","1","0"
"650","1","145700.22","1","0"
"651","1","196335.48","1","0"
"652","1","14781.12","1","0"
"653","0","108139.23","1","0"
"654","1","19287.06","1","1"
"655","1","9567.39","1","0"
"656","1","132210.49","1","0"
"657","1","21600.11","0","0"
"658","1","199661.5","1","0"
"659","1","124341.49","1","0"
"660","0","15766.1","1","0"
"661","1","33642.21","1","0"
"662","1","117704.65","1","0"
"663","1","58803.28","1","0"
"664","1","137537.22","1","0"
"665","1","131300.68","0","0"
"666","1","84174.81","1","0"
"667","1","160941.78","0","0"
"668","1","143954.99","1","0"
"669","1","56297.85","1","0"
"670","1","8404.73","1","0"
"671","0","30020.09","0","0"
"672","1","58137.42","0","0"
"673","0","47472.68","0","0"
"674","1","19131.71","1","0"
"675","1","187288.5","1","0"
"676","1","17603.81","1","0"
"677","0","67020.03","1","0"
"678","1","147802.94","0","1"
"679","1","41610.62","1","0"
"680","0","44255.65","1","0"
"681","1","78416.14","0","0"
"682","1","137254.55","0","0"
"683","1","151303.48","0","0"
"684","0","86333.63","0","0"
"685","0","89801.9","0","0"
"686","0","29358.57","0","1"
"687","1","181600.72","1","0"
"688","0","124118.71","1","1"
"689","0","38867.46","1","1"
"690","0","31106.67","1","0"
"691","0","67611.36","1","0"
"692","0","77837.63","1","0"
"693","0","6078.46","0","0"
"694","1","177896.92","1","0"
"695","1","123882.73","1","0"
"696","1","15304.08","1","0"
"697","1","76569.64","1","1"
"698","1","120657.32","1","1"
"699","1","16436.56","1","0"
"700","1","107667.91","1","0"
"701","0","95611.47","1","0"
"702","0","19799.26","0","0"
"703","1","123214.74","0","0"
"704","1","71709.12","0","0"
"705","1","149066.14","1","0"
"706","0","20451.99","1","1"
"707","1","32825.5","1","0"
"708","0","6232.31","1","0"
"709","1","10357.03","0","0"
"710","0","147794.63","1","0"
"711","0","116973.48","0","0"
"712","0","129964.94","1","0"
"713","0","92816.86","1","0"
"714","0","172114.67","1","0"
"715","0","16649.31","1","1"
"716","0","144517.19","1","0"
"717","0","182038.6","0","0"
"718","0","24210.56","0","0"
"719","0","172175.9","0","0"
"720","1","47578.45","1","0"
"721","1","150694.42","1","1"
"722","1","177683.02","1","1"
"723","0","66088.83","0","0"
"724","0","169291.7","1","0"
"725","1","117140.41","1","0"
"726","1","79510.37","1","0"
"727","1","77108.66","0","0"
"728","1","9679.28","1","0"
"729","0","81753.92","1","0"
"730","0","131372.38","0","1"
"731","1","25310.82","1","0"
"732","0","187925.75","0","0"
"733","0","98820.39","0","0"
"734","0","64166.7","1","1"
"735","1","176924.21","0","1"
"736","1","90055.08","1","0"
"737","1","72814.31","1","0"
"738","1","168290.06","0","0"
"739","0","161767.38","1","0"
"740","0","44420.18","1","0"
"741","1","37147.61","0","0"
"742","1","125381.02","1","0"
"743","1","149853.89","1","0"
"744","0","161435.02","0","1"
"745","1","102925.76","1","0"
"746","1","70899.27","1","0"
"747","0","145936.28","0","0"
"748","0","54227.06","1","0"
"749","1","59280.79","1","0"
"750","1","126952.5","1","0"
"751","1","130567.02","0","0"
"752","0","73294.48","1","0"
"753","1","3937.37","1","0"
"754","0","2383.59","1","0"
"755","0","14279.44","1","0"
"756","0","141300.53","1","0"
"757","0","78140.75","1","0"
"758","1","117431.1","1","0"
"759","0","72008.61","1","0"
"760","1","60887.58","1","0"
"761","0","194764.83","1","0"
"762","0","88705.14","1","1"
"763","0","35817.97","0","1"
"764","0","31520.4","1","0"
"765","1","157908.19","1","1"
"766","0","142200.15","1","0"
"767","1","182055.36","0","0"
"768","0","157552.08","0","1"
"769","0","120284.67","0","0"
"770","1","24506.95","0","1"
"771","0","47271.61","0","1"
"772","0","41176.6","0","0"
"773","1","9468.64","0","0"
"774","0","123880.19","0","0"
"775","0","158887.09","1","1"
"776","1","117036.38","1","0"
"777","0","120415.61","1","1"
"778","0","16064.25","0","1"
"779","1","52615.62","1","0"
"780","0","121210.09","0","0"
"781","0","192247.35","1","0"
"782","1","68759.57","0","0"
"783","1","75937.47","0","0"
"784","0","84569.13","0","0"
"785","1","190696.35","1","1"
"786","1","67468.67","0","0"
"787","1","104435.94","1","0"
"788","1","47166.55","0","0"
"789","0","119899.52","1","0"
"790","1","173498.45","1","0"
"791","1","93249.26","1","0"
"792","1","142917.54","1","0"
"793","0","111755.8","1","0"
"794","1","108543.21","1","0"
"795","0","180345.44","1","0"
"796","0","99444.02","0","0"
"797","1","109563.28","0","0"
"798","0","92568.07","1","0"
"799","1","37976.36","1","0"
"800","1","103315.74","0","0"
"801","1","173952.5","1","0"
"802","1","34673.98","0","0"
"803","1","46163.44","1","0"
"804","1","140676.98","0","0"
"805","1","151738.54","0","0"
"806","0","14679.81","0","1"
"807","0","175544.02","0","0"
"808","1","181964.6","1","0"
"809","1","136886.86","1","0"
"810","0","122218.23","1","0"
"811","0","180439.75","1","0"
"812","1","190419.81","0","0"
"813","1","58685.59","1","0"
"814","1","89017.38","1","1"
"815","0","50051.42","0","0"
"816","0","146041.45","1","0"
"817","0","191166.09","1","0"
"818","0","103516.08","0","1"
"819","1","164825.04","1","0"
"820","0","172557.77","1","0"
"821","0","84320.94","1","0"
"822","0","122662.98","0","0"
"823","0","72085.1","1","0"
"824","1","110932.24","0","1"
"825","0","143635.36","1","0"
"826","1","3710.34","1","0"
"827","1","179843.33","1","0"
"828","1","10643.38","1","0"
"829","1","131167.98","1","0"
"830","0","10553.31","1","0"
"831","1","130928.22","1","0"
"832","1","157003.99","0","0"
"833","1","138527.56","1","0"
"834","1","167032.49","1","0"
"835","0","41642.29","0","0"
"836","0","9677","1","0"
"837","1","147012.22","1","0"
"838","1","80553.87","1","0"
"839","1","30730.95","0","1"
"840","0","140134.43","0","0"
"841","0","91936.1","0","1"
"842","0","178252.63","0","0"
"843","1","198674.08","0","0"
"844","0","28266.9","1","1"
"845","0","92381.01","1","0"
"846","0","135180.11","0","0"
"847","0","27330.59","0","0"
"848","0","125305.34","1","0"
"849","1","149648.45","1","0"
"850","1","59887.15","0","0"
"851","0","45041.32","1","0"
"852","0","113316.77","0","1"
"853","1","39087.42","1","0"
"854","1","7330.59","1","0"
"855","1","95463.29","0","0"
"856","0","167848.02","1","0"
"857","0","93953.84","1","1"
"858","1","174227.66","0","0"
"859","1","135399.21","1","0"
"860","0","195635.3","1","1"
"861","0","97508.04","1","1"
"862","0","188083.77","1","1"
"863","1","116704.25","1","0"
"864","1","97614.87","0","0"
"865","0","186884.04","0","0"
"866","1","131501.72","0","0"
"867","1","24302.95","1","0"
"868","0","110510.28","1","1"
"869","0","108488.33","1","1"
"870","1","197015.2","1","0"
"871","1","27689.77","1","0"
"872","0","9217.55","1","1"
"873","1","15068.18","1","0"
"874","0","7797.01","1","0"
"875","1","4400.32","0","0"
"876","0","182025.95","0","0"
"877","1","122763.95","0","0"
"878","1","38152.01","1","0"
"879","0","63163.99","1","0"
"880","1","73418.29","1","0"
"881","0","17978.68","1","1"
"882","0","115136.51","1","1"
"883","0","149575.59","1","0"
"884","0","60917.24","1","1"
"885","1","142548.33","1","0"
"886","1","157878.67","1","0"
"887","0","12796.43","1","0"
"888","1","18657.77","1","0"
"889","1","134589.58","1","0"
"890","1","10350.74","0","0"
"891","0","66013.27","0","0"
"892","1","5907.11","1","0"
"893","0","74077.91","1","0"
"894","1","77294.56","1","1"
"895","0","54359.02","1","1"
"896","1","156124.93","1","0"
"897","0","94820.85","1","0"
"898","0","155155.25","1","0"
"899","0","128702.1","1","1"
"900","0","22745.5","1","0"
"901","0","71865.31","1","1"
"902","1","84294.82","0","0"
"903","1","149139.13","1","0"
"904","0","185489.11","1","0"
"905","0","176407.15","0","1"
"906","1","92027.69","1","1"
"907","1","43932.54","1","0"
"908","0","115789.25","1","1"
"909","1","125777.28","1","0"
"910","0","18461.9","1","0"
"911","1","79633.38","1","0"
"912","1","121542.29","1","0"
"913","0","94739.2","1","0"
"914","0","93302.29","1","0"
"915","1","193793.78","1","0"
"916","0","74835.65","1","0"
"917","1","56999.9","1","1"
"918","1","57236.44","1","0"
"919","0","81483.64","0","0"
"920","0","26752.56","1","0"
"921","1","9200.54","0","0"
"922","0","22447.85","1","1"
"923","0","189122.89","1","1"
"924","1","16161.82","1","0"
"925","1","68600.36","1","0"
"926","1","447.73","1","0"
"927","1","15650.73","1","0"
"928","1","149599.62","1","0"
"929","1","90304.01","1","0"
"930","0","115676.38","0","0"
